,Description,Max score,Total score,Query cover,E value,Ident,Accession,,
Select seq WP_043485994.1,MULTISPECIES: glucuronoxylanase [Streptomyces],54.7,54.7,0.62,2.00E-04,0.15,WP_043485994.1,,
Select seq WP_119026957.1,glucuronoxylanase [Bacillus velezensis],65.2,65.2,0.6,8.00E-08,0.16,WP_119026957.1,,
Select seq WP_015853830.1,xylanase [Dickeya paradisiaca],64.9,64.9,0.61,9.00E-08,0.16,WP_015853830.1,,
Select seq WP_053104448.1,glucuronoxylanase [Bacillus velezensis],64.9,64.9,0.6,9.00E-08,0.16,WP_053104448.1,,
Select seq WP_113766112.1,glucuronoxylanase [Bacillus velezensis],64.9,64.9,0.6,9.00E-08,0.16,WP_113766112.1,,
Select seq WP_085342043.1,glucuronoxylanase [Bacillus velezensis],64.9,64.9,0.6,1.00E-07,0.16,WP_085342043.1,,
Select seq WP_042635241.1,MULTISPECIES: glucuronoxylanase [Bacillus subtilis group],64.9,64.9,0.6,1.00E-07,0.16,WP_042635241.1,,
Select seq WP_039251362.1,MULTISPECIES: glucuronoxylanase [Bacillus],64.9,64.9,0.6,1.00E-07,0.16,WP_039251362.1,,
Select seq WP_020955895.1,MULTISPECIES: glucuronoxylanase [Bacillus],64.9,64.9,0.6,1.00E-07,0.16,WP_020955895.1,,
Select seq WP_007410144.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus],64.6,64.6,0.6,1.00E-07,0.16,WP_007410144.1,,
Select seq WP_012117675.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus amyloliquefaciens group],64.6,64.6,0.6,1.00E-07,0.16,WP_012117675.1,,
Select seq WP_032865984.1,MULTISPECIES: glucuronoxylanase [Bacillus amyloliquefaciens group],64.6,64.6,0.6,1.00E-07,0.16,WP_032865984.1,,
Select seq WP_046702317.1,glucuronoxylanase [Bacillus velezensis],64.6,64.6,0.6,1.00E-07,0.16,WP_046702317.1,,
Select seq WP_043021156.1,glucuronoxylanase [Bacillus velezensis],64.6,64.6,0.6,1.00E-07,0.16,WP_043021156.1,,
Select seq WP_106080054.1,glucuronoxylanase [Bacillus velezensis],64.6,64.6,0.6,1.00E-07,0.16,WP_106080054.1,,
Select seq WP_094032673.1,glucuronoxylanase [Bacillus sp. LYLB4],63.5,63.5,0.6,3.00E-07,0.16,WP_094032673.1,,
Select seq WP_076424240.1,glucuronoxylanase [Bacillus sp. RUPDJ],63.5,63.5,0.6,3.00E-07,0.16,WP_076424240.1,,
Select seq WP_088612890.1,glucuronoxylanase [Bacillus amyloliquefaciens],63.2,63.2,0.6,3.00E-07,0.16,WP_088612890.1,,
Select seq WP_071346697.1,glucuronoxylanase [Bacillus amyloliquefaciens],63.2,63.2,0.6,3.00E-07,0.16,WP_071346697.1,,
Select seq WP_099680770.1,glucuronoxylanase [Bacillus pumilus],62.6,62.6,0.6,6.00E-07,0.16,WP_099680770.1,,
Select seq WP_106061898.1,glucuronoxylanase [Bacillus sp. GBSC66],61.7,61.7,0.62,1.00E-06,0.16,WP_106061898.1,,
Select seq WP_095285226.1,MULTISPECIES: glucuronoxylanase [Bacillus],61.4,61.4,0.62,1.00E-06,0.16,WP_095285226.1,,
Select seq WP_060596459.1,MULTISPECIES: glucuronoxylanase [Bacillus],61.4,61.4,0.62,1.00E-06,0.16,WP_060596459.1,,
Select seq WP_106049476.1,MULTISPECIES: glucuronoxylanase [Bacillus],61.1,61.1,0.62,2.00E-06,0.16,WP_106049476.1,,
Select seq WP_034660820.1,glucuronoxylanase [Bacillus pumilus],60.3,60.3,0.62,3.00E-06,0.16,WP_034660820.1,,
Select seq WP_106030961.1,glucuronoxylanase [Bacillus sp. NMCC4],60.3,60.3,0.62,3.00E-06,0.16,WP_106030961.1,,
Select seq WP_077057735.1,glucuronoxylanase [Streptomyces sp. MP131-18],58.5,58.5,0.62,1.00E-05,0.16,WP_077057735.1,,
Select seq WP_046722815.1,glucuronoxylanase [Streptomyces xiamenensis],52.6,52.6,0.62,8.00E-04,0.16,WP_046722815.1,,
Select seq WP_030727532.1,glucuronoxylanase [Streptomyces sp. NRRL F-2890],52.6,52.6,0.62,8.00E-04,0.16,WP_030727532.1,,
Select seq WP_064744458.1,hypothetical protein [Paenibacillus sp. URHA0014],82.5,82.5,0.79,7.00E-13,0.17,WP_064744458.1,,
Select seq WP_038907941.1,xylanase [Dickeya zeae],77.5,77.5,0.61,7.00E-12,0.17,WP_038907941.1,,
Select seq WP_038925870.1,xylanase [Dickeya zeae],77.2,77.2,0.61,7.00E-12,0.17,WP_038925870.1,,
Select seq WP_016941411.1,xylanase [Dickeya zeae],77.2,77.2,0.61,7.00E-12,0.17,WP_016941411.1,,
Select seq WP_038913935.1,xylanase [Dickeya zeae],76.7,76.7,0.61,1.00E-11,0.17,WP_038913935.1,,
Select seq WP_038904298.1,xylanase [Dickeya zeae],76.1,76.1,0.61,2.00E-11,0.17,WP_038904298.1,,
Select seq WP_042859887.1,xylanase [Dickeya sp. NCPPB 3274],75.5,75.5,0.61,3.00E-11,0.17,WP_042859887.1,,
Select seq WP_023639638.1,xylanase [Dickeya zeae],75.5,75.5,0.61,3.00E-11,0.17,WP_023639638.1,,
Select seq WP_110371080.1,xylanase [Erwinia sp. AG740],75.5,75.5,0.61,3.00E-11,0.17,WP_110371080.1,,
Select seq WP_038916159.1,xylanase [Dickeya zeae],75.5,75.5,0.61,3.00E-11,0.17,WP_038916159.1,,
Select seq WP_019846657.1,xylanase [Dickeya zeae],75.2,75.2,0.61,4.00E-11,0.17,WP_019846657.1,,
Select seq WP_102801789.1,xylanase [Dickeya zeae],75.2,75.2,0.61,4.00E-11,0.17,WP_102801789.1,,
Select seq WP_057085500.1,xylanase [Dickeya solani],74.6,74.6,0.61,6.00E-11,0.17,WP_057085500.1,,
Select seq WP_012884684.1,xylanase [Dickeya zeae],73.7,73.7,0.61,1.00E-10,0.17,WP_012884684.1,,
Select seq WP_121480205.1,xylanase [Dickeya fangzhongdai],73.7,73.7,0.61,1.00E-10,0.17,WP_121480205.1,,
Select seq WP_023637807.1,xylanase [Dickeya solani],73.1,73.1,0.61,2.00E-10,0.17,WP_023637807.1,,
Select seq WP_107759433.1,xylanase [Dickeya sp. Secpp 1600],72.8,72.8,0.61,2.00E-10,0.17,WP_107759433.1,,
Select seq WP_049855416.1,xylanase [Dickeya fangzhongdai],72.6,72.6,0.61,3.00E-10,0.17,WP_049855416.1,,
Select seq WP_038919126.1,MULTISPECIES: xylanase [Dickeya],72.6,72.6,0.61,3.00E-10,0.17,WP_038919126.1,,
Select seq WP_039695363.1,xylanase [Dickeya fangzhongdai],71.1,71.1,0.61,9.00E-10,0.17,WP_039695363.1,,
Select seq WP_038658497.1,xylanase [Dickeya fangzhongdai],70.8,70.8,0.61,1.00E-09,0.17,WP_038658497.1,,
Select seq WP_121984449.1,glucuronoxylanase [Bacillus velezensis],66.4,66.4,0.6,3.00E-08,0.17,WP_121984449.1,,
Select seq WP_040083023.1,MULTISPECIES: glucuronoxylanase [Bacillus],66.1,66.1,0.59,4.00E-08,0.17,WP_040083023.1,,
Select seq WP_025851057.1,MULTISPECIES: glucuronoxylanase [Bacillus amyloliquefaciens group],66.1,66.1,0.6,4.00E-08,0.17,WP_025851057.1,,
Select seq WP_063174858.1,MULTISPECIES: glucuronoxylanase [Bacillus amyloliquefaciens group],65.8,65.8,0.6,4.00E-08,0.17,WP_063174858.1,,
Select seq WP_058906062.1,MULTISPECIES: glucuronoxylanase [Bacillus],65.8,65.8,0.6,4.00E-08,0.17,WP_058906062.1,,
Select seq WP_014305091.1,glucuronoxylanase xynC [Bacillus velezensis],65.8,65.8,0.6,4.00E-08,0.17,WP_014305091.1,,
Select seq WP_077722401.1,glucuronoxylanase [Bacillus velezensis],65.8,65.8,0.6,4.00E-08,0.17,WP_077722401.1,,
Select seq WP_003153931.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus],65.8,65.8,0.6,4.00E-08,0.17,WP_003153931.1,,
Select seq WP_089830533.1,xylanase [Chitinophaga filiformis],66.1,66.1,0.22,5.00E-08,0.17,WP_089830533.1,,
Select seq WP_015417568.1,endo-xylanase [Bacillus velezensis],65.8,65.8,0.6,5.00E-08,0.17,WP_015417568.1,,
Select seq WP_094246892.1,glucuronoxylanase [Bacillus velezensis],65.8,65.8,0.6,5.00E-08,0.17,WP_094246892.1,,
Select seq WP_117614584.1,glucuronoxylanase [Bacillus velezensis],65.8,65.8,0.6,5.00E-08,0.17,WP_117614584.1,,
Select seq WP_115940510.1,glucuronoxylanase [Bacillus velezensis],65.8,65.8,0.6,5.00E-08,0.17,WP_115940510.1,,
Select seq WP_065981591.1,glucuronoxylanase [Bacillus amyloliquefaciens],65.8,65.8,0.6,5.00E-08,0.17,WP_065981591.1,,
Select seq WP_065521198.1,glucuronoxylanase [Bacillus amyloliquefaciens],65.8,65.8,0.6,5.00E-08,0.17,WP_065521198.1,,
Select seq WP_070081901.1,MULTISPECIES: glucuronoxylanase [Bacillus],65.8,65.8,0.6,5.00E-08,0.17,WP_070081901.1,,
Select seq WP_101563064.1,glucuronoxylanase [Bacillus velezensis],65.8,65.8,0.6,5.00E-08,0.17,WP_101563064.1,,
Select seq WP_029325938.1,MULTISPECIES: glucuronoxylanase XynC [Bacillus],65.8,65.8,0.6,5.00E-08,0.17,WP_029325938.1,,
Select seq WP_105937663.1,glucuronoxylanase [Bacillus velezensis],65.8,65.8,0.6,5.00E-08,0.17,WP_105937663.1,,
Select seq WP_072177673.1,glucuronoxylanase [Bacillus amyloliquefaciens],65.8,65.8,0.6,5.00E-08,0.17,WP_072177673.1,,
Select seq WP_104843536.1,glucuronoxylanase [Bacillus velezensis],65.5,65.5,0.6,6.00E-08,0.17,WP_104843536.1,,
Select seq WP_061862250.1,MULTISPECIES: glucuronoxylanase [Bacillus amyloliquefaciens group],65.5,65.5,0.6,6.00E-08,0.17,WP_061862250.1,,
Select seq WP_060561617.1,glucuronoxylanase [Bacillus velezensis],65.5,65.5,0.6,6.00E-08,0.17,WP_060561617.1,,
Select seq WP_017417898.1,MULTISPECIES: glucuronoxylanase xynC [Bacillus amyloliquefaciens group],65.5,65.5,0.6,6.00E-08,0.17,WP_017417898.1,,
Select seq WP_061581321.1,glucuronoxylanase [Bacillus amyloliquefaciens],65.5,65.5,0.6,6.00E-08,0.17,WP_061581321.1,,
Select seq WP_045207547.1,glucuronoxylanase [Bacillus velezensis],65.5,65.5,0.6,6.00E-08,0.17,WP_045207547.1,,
Select seq WP_029973836.1,glucuronoxylanase [Bacillus velezensis],65.5,65.5,0.6,6.00E-08,0.17,WP_029973836.1,,
